DOG_ID,mAP,Total_Vids,Query_Vids,Gallery_Vids,Avg_Resolution,Avg_Width,Avg_Height,Avg_Duration_Sec
02ad7461-dffb-476e-a812-4f894be8920b,0.6891771981348427,5,2,3,1752x1248,1752.0,1248.0,5.75
aebf3ad5-b442-4a11-8fc2-17fa05f47de6,0.686111111111111,3,1,2,1243x1427,1243.0,1427.0,12.48
f9da70e3-bfbc-4c3e-980b-bddfa3501d6f,0.6797031672031673,5,3,2,1296x2304,1296.0,2304.0,8.58
5cd6361a-cae5-4450-8f08-90f9b8396cd9,0.6771777829886524,5,2,3,936x1664,936.0,1664.0,10.28
3e35eb4c-de72-498c-a7f8-c7d02e0c5028,0.6702314814814815,4,2,2,900x1248,900.0,1248.0,15.53
3eb961f0-5813-4980-ab56-55e2af69edaf,0.6698247354497354,5,2,3,653x1162,653.0,1162.0,4.3
a68b3e1f-12cd-4444-b70e-39b97898acc2,0.6652189761077228,5,1,4,360x480,360.0,480.0,6.2
d16194a2-48c1-42c2-b4de-146dd3a97e25,0.6612412072925639,4,2,2,990x1760,990.0,1760.0,5.72
7f6051bc-075a-420f-a538-526669cbefa3,0.6590900035227766,5,3,2,720x1280,720.0,1280.0,1.8
e1e1f872-1d17-4128-b8a9-680a02209b4b,0.6582204519233036,10,6,4,698x1300,698.0,1300.0,11.38
e2ab7867-bf4e-4ef8-abc2-4f110300a00c,0.6571280618383829,10,2,8,876x1324,876.0,1324.0,8.54
91083a4a-4978-4a45-bfa7-511bc66c7e47,0.6552197802197802,3,1,2,720x1280,720.0,1280.0,5.51
b9c4ecbb-9d26-4ee8-a5fd-ac03f8f95481,0.6536798838706626,5,3,2,1080x1920,1080.0,1920.0,24.64
827c04c5-9a0e-4bff-b830-4613d2eebb59,0.6525638818061685,5,1,4,1056x941,1056.0,941.0,8.25
af034003-b4aa-4910-99c5-6a2a2a79fbcc,0.6514508964633966,4,2,2,1890x3360,1890.0,3360.0,7.16
60967a26-2ccc-46e0-ac9c-e6b8afec79c8,0.6499999999999999,3,1,2,3200x1800,3200.0,1800.0,8.68
37ad1c27-917d-47ef-9d2a-57d9c081ddf3,0.6481742191863459,5,1,4,960x1706,960.0,1706.0,12.47
801d0066-995a-460b-a296-40e36c58ecb7,0.6410755910755911,5,3,2,2064x2736,2064.0,2736.0,7.61
c5991b0b-cd68-4267-ab46-34c892733ff8,0.6379863056333644,4,1,3,1710x1290,1710.0,1290.0,6.99
65636a2c-6b48-44b0-ae72-39dbb2e52df0,0.6357191906534011,5,3,2,792x1408,792.0,1408.0,11.22
